City,SKU Name,SKU Code,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,Units
Pune,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,14
Chennai,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,151
Noida,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,72e2abc7-9612-4da5-bd15-e66d1a94a67f,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,6
Hyderabad,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,72e2abc7-9612-4da5-bd15-e66d1a94a67f,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,6
Jhajjar,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,72e2abc7-9612-4da5-bd15-e66d1a94a67f,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,182
Chennai,Nourish You Pumpkin Seeds 250.0 GRAM,42f063c0-f709-4837-92be-2841bd46298a,,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,119
Delhi,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,10
Hyderabad,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,15
Gurugram,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,9
Jhajjar,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,632214d2-54cb-416d-8839-0578e3efe662,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,361
