State,Campaign name,Status,Type,Targeting,Campaign start date,Campaign end date,Campaign budget amount (converted),Campaign budget amount,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Purchases,Sales (converted),Sales,ACOS,ROAS
ENABLED,DG | SV,ADVERTISER_PAYMENT_FAILURE,SB2,MANUAL,30/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG | Keyword | Millet Milk,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG_G_SPM Quinoa Brown Rice 500G GKW Exact,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,28/03/2023,,₹50.00,₹50.00,<5%,0.05,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG | Flax Seeds | Keyword,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG_G_SB Sunflower Seeds GKW Phrase,ADVERTISER_PAYMENT_FAILURE,SB2,MANUAL,15/07/2024,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG | Pumpkin Seeds | Keyword,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG_G_SPCT Pumpkin Seeds 500G Refined(Price),ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,19/09/2024,,₹50.00,₹50.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG | Chia Seeds | Keyword,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG | Oats,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,30/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG | Product | Mix Oats,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,25/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG | Chia Seeds | Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹50.00,₹50.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
ENABLED,DG_G_SPT White Quinoa 1KG Self EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,05/04/2025,,₹50.00,₹50.00,50.00%,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | Flax Seeds | Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹301.00,₹301.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | Keyword | Watermelon,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹300.00,₹300.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | Product | Watermelon Seeds,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹300.00,₹300.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | Product | Sunflower Seeds,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹400.00,₹400.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG | Product | Pumpkin Seeds,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/01/2026,,₹250.00,₹250.00,0,0,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,DG_G_SPT  Seeds Combo Pack 1Kg  Comp,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,17/02/2025,,"₹1,560.00","₹1,560.00",0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPM Super Muesli(Belgium Dark Choclate) GKW Phrase/Broad EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,08/07/2023,,₹50.00,₹50.00,0,0.35,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
PAUSED,SPT  Black Chia Seeds  500G Comp (New Arrival) EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,10/10/2024,,₹50.00,₹50.00,0,0.30,0,0,₹0.00,₹0.00,₹0.00,₹0.00,0,₹0.00,₹0.00,0,0
